ActiveX|OLE Custom Control,4D 5A,Hex,N/A,OCX,Windows
OLE object library,4D 5A,Hex,N/A,OLB,Windows
Screen saver,4D 5A,Hex,N/A,SCR,Windows
VisualBASIC application,4D 5A,Hex,N/A,VBX,Programming
Windows virtual device drivers,4D 5A,Hex,N/A,VXD|386,Windows
Acrobat plug-in,4D 5A 90 00 03 00 00 00,Hex,N/A,API,Word processing suite
DirectShow filter,4D 5A 90 00 03 00 00 00,Hex,N/A,AX,Miscellaneous
Audition graphic filter,4D 5A 90 00 03 00 00 00,Hex,N/A,FLT,Miscellaneous
ZoneAlam data file,4D 5A 90 00 03 00 00 00 04 00 00 00 FF FF,Hex,N/A,ZAP,Miscellaneous
MS C++ debugging symbols file,4D 69 63 72 6F 73 6F 66 74 20 43 2F 43 2B 2B 20,Hex,N/A,PDB,Programming
Visual Studio .NET file,4D 69 63 72 6F 73 6F 66 74 20 56 69 73 75 61 6C,Hex,N/A,SLN,Programming
TomTom traffic data,4E 41 56 54 52 41 46 46,Hex,N/A,DAT,Mobile
MS Windows journal,4E 42 2A 00,Hex,N/A,JNT|JTP,Windows
NES Sound file,4E 45 53 4D 1A 01,Hex,N/A,NSF,Multimedia
National Imagery Transmission Format file,4E 49 54 46 30,Hex,N/A,NTF,Picture
Agent newsreader character map,4E 61 6D 65 3A 20,Hex,N/A,COD,Miscellaneous
Psion Series 3 Database,4F 50 4C 44 61 74 61 62,Hex,N/A,DBF,Database
Ogg Vorbis Codec compressed file,4F 67 67 53 00 02 00 00,Hex,N/A,OGA|OGG|OGV|OGX,Multimedia
Visio|DisplayWrite 4 text file,4F 7B,Hex,N/A,DW4,Presentation
Quicken QuickFinder Information File,50 00 00 00 20 00 00 00,Hex,N/A,IDX,Miscellaneous
Portable Graymap Graphic,50 35 0A,Hex,N/A,PGM,Picture
Quake archive file,50 41 43 4B,Hex,N/A,PAK,Compressed archive
Windows memory dump,50 41 47 45 44 55,Hex,N/A,DMP,Windows
PAX password protected bitmap,50 41 58,Hex,N/A,PAX,Picture
PestPatrol data|scan strings,50 45 53 54,Hex,N/A,DAT,Miscellaneous
PGP disk image,50 47 50 64 4D 41 49 4E,Hex,N/A,PGD,Compressed archive
ChromaGraph Graphics Card Bitmap,50 49 43 54 00 08,Hex,N/A,IMG,Picture
PKZIP archive_1,50 4B 03 04,Hex,N/A,ZIP,Compressed archive
MacOS X Dashboard Widget,50 4B 03 04,Hex,N/A,ZIP,MacOS
MS Office Open XML Format Document,50 4B 03 04,Hex,N/A,DOCX|PPTX|XLSX,Word processing suite
Java archive_1,50 4B 03 04,Hex,N/A,JAR,Programming
KWord document,50 4B 03 04,Hex,N/A,KWD,Word processing suite
OpenDocument template,50 4B 03 04,Hex,N/A,ODT|ODP|OTT,Word processing suite
OpenOffice documents,50 4B 03 04,Hex,N/A,SXC|SXD|SXI|SXW,Word processing suite
StarOffice spreadsheet,50 4B 03 04,Hex,N/A,SXC,Spreadsheet
Windows Media compressed skin file,50 4B 03 04,Hex,N/A,WMZ,Windows
Mozilla Browser Archive,50 4B 03 04,Hex,N/A,XPI,Network
XML paper specification file,50 4B 03 04,Hex,N/A,XPS,Word processing suite
eXact Packager Models,50 4B 03 04,Hex,N/A,XPT,Miscellaneous
ZLock Pro encrypted ZIP,50 4B 03 04 14 00 01 00,Hex,N/A,ZIP,Compressed archive
MS Office 2007 documents,50 4B 03 04 14 00 06 00,Hex,N/A,DOCX|PPTX|XLSX,Word processing suite
Java archive_2,50 4B 03 04 14 00 08 00,Hex,N/A,JAR,Programming
PKZIP archive_2,50 4B 05 06,Hex,N/A,ZIP,Compressed archive
PKZIP archive_3,50 4B 07 08,Hex,N/A,ZIP,Compressed archive
Windows Program Manager group file,50 4D 43 43,Hex,N/A,GRP,Windows
Norton Disk Doctor undo file,50 4E 43 49 55 4E 44 4F,Hex,N/A,DAT,Miscellaneous
Qcow Disk Image,51 46 49,Hex,N/A,QEMU,Miscellaneous
Quicken data file,51 57 20 56 65 72 2E 20,Hex,N/A,ABD|QSD,Miscellaneous
Shareaza (P2P) thumbnail,52 41 5A 41 54 44 42 31,Hex,N/A,DAT,Network
WinNT Registry|Registry Undo files,52 45 47 45 44 49 54,Hex,N/A,REG|SUD,Windows
Antenna data file,52 45 56 4E 55 4D 3A 2C,Hex,N/A,AD,Miscellaneous
Windows animated cursor,52 49 46 46,Hex,N/A,ANI,Windows
Corel Presentation Exchange metadata,52 49 46 46,Hex,N/A,CMX,Presentation
CorelDraw document,52 49 46 46,Hex,N/A,CDR,Presentation
Video CD MPEG movie,52 49 46 46,Hex,N/A,DAT,Multimedia
Micrografx Designer graphic,52 49 46 46,Hex,N/A,DS4,Picture
4X Movie video,52 49 46 46,Hex,N/A,4XM,Multimedia
Resource Interchange File Format,52 49 46 46,Hex,N/A,AVI|CDA|QCP|RMI|WAV,Multimedia
WinNT Netmon capture file,52 54 53 53,Hex,N/A,CAP,Network
WinRAR compressed archive,52 61 72 21 1A 07 00,Hex,N/A,RAR,Compressed archive
Generic e-mail_1,52 65 74 75 72 6E 2D 50,Hex,N/A,EML,Email
Underground Audio,53 43 48 6C,Hex,N/A,AST,Multimedia
Img Software Bitmap,53 43 4D 49,Hex,N/A,IMG,Picture
Harvard Graphics presentation,53 48 4F 57,Hex,N/A,SHW,Presentation
Sietronics CPI XRD document,53 49 45 54 52 4F 4E 49,Hex,N/A,CPI,Miscellaneous
StuffIt archive,53 49 54 21 00,Hex,N/A,SIT,Compressed archive
SmartDraw Drawing file,53 4D 41 52 54 44 52 57,Hex,N/A,SDR,Presentation
SQLite database file,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00,Hex,N/A,DB,Database
DB2 conversion file,53 51 4C 4F 43 4F 4E 56,Hex,N/A,CNV,Database
QBASIC SZDD file,53 5A 20 88 F0 27 33 D1,Hex,N/A,(none),Compressed archive
SZDD file format,53 5A 44 44 88 F0 27 33,Hex,N/A,(none),Compressed archive
StuffIt compressed archive,53 74 75 66 66 49 74 20,Hex,N/A,SIT,Compressed archive
SuperCalc worksheet,53 75 70 65 72 43 61 6C,Hex,N/A,CAL,Spreadsheet
GNU Info Reader file,54 68 69 73 20 69 73 20,Hex,N/A,INFO,Programming
Unicode extensions,55 43 45 58,Hex,N/A,UCE,Windows
UFA compressed archive,55 46 41 C6 D2 C1,Hex,N/A,UFA,Compressed archive
UFO Capture map file,55 46 4F 4F 72 62 69 74,Hex,N/A,DAT,Miscellaneous
Visual C PreCompiled header,56 43 50 43 48 30,Hex,N/A,PCH,Programming
Visual Basic User-defined Control file,56 45 52 53 49 4F 4E 20,Hex,N/A,CTL,Programming
MapInfo Interchange Format file,56 65 72 73 69 6F 6E 20,Hex,N/A,MIF,Miscellaneous
Walkman MP3 file,57 4D 4D 50,Hex,N/A,DAT,Multimedia
WordStar for Windows file,57 53 32 30 30 30,Hex,N/A,WS2,Word processing suite
Lotus WordPro file,57 6F 72 64 50 72 6F,Hex,N/A,LWP,Word processing suite
Exchange e-mail,58 2D,Hex,N/A,EML,Email
Packet sniffer files,58 43 50 00,Hex,N/A,CAP,Network
XPCOM libraries,58 50 43 4F 4D 0A 54 79,Hex,N/A,XPT,Programming
MS Publisher,58 54,Hex,N/A,BDR,Word processing suite
ZOO compressed archive,5A 4F 4F 20,Hex,N/A,ZOO,Compressed archive
MS Exchange configuration file,5B 47 65 6E 65 72 61 6C,Hex,N/A,ECF,Email
Visual C++ Workbench Info File,5B 4D 53 56 43,Hex,N/A,VCW,Programming
Dial-up networking file,5B 50 68 6F 6E 65 5D,Hex,N/A,DUN,Network
Lotus AMI Pro document_1,5B 56 45 52 5D,Hex,N/A,SAM,Word processing suite
Microsoft Code Page Translation file,5B 57 69 6E 64 6F 77 73,Hex,N/A,CPX,Windows
Flight Simulator Aircraft Configuration,5B 66 6C 74 73 69 6D 2E,Hex,N/A,CFG,Miscellaneous
Lotus AMI Pro document_2,5B 76 65 72 5D,Hex,N/A,SAM,Word processing suite
Jar archive,5F 27 A8 89,Hex,N/A,JAR,Miscellaneous
EnCase case file,5F 43 41 53 45 5F,Hex,N/A,CAS|CBK,Miscellaneous
Compressed archive file,60 EA,Hex,N/A,ARJ,Compressed archive
UUencoded file,62 65 67 69 6E,Hex,N/A,(none),Compressed archive
Binary property list (plist),62 70 6C 69 73 74,Hex,N/A,(none),Miscellaneous
Virtual PC HD image,63 6F 6E 65 63 74 69 78,Hex,N/A,VHD,Miscellaneous
Photoshop Custom Shape,63 75 73 68 00 00 00 02,Hex,N/A,CSH,Miscellaneous
Intel PROset|Wireless Profile,64 00 00 00,Hex,N/A,P10,Network
Dalvik (Android) executable file,64 65 78 0A 30 30 39 00,Hex,N/A,dex,Mobile
MS Visual Studio workspace file,64 73 77 66 69 6C 65,Hex,N/A,DSW,Programming
Audacity audio file,64 6E 73 2E,Hex,N/A,AU,Multimedia
WinNT printer spool file,66 49 00 00,Hex,N/A,SHD,Windows
Free Lossless Audio Codec file,66 4C 61 43 00 00 00 22,Hex,N/A,FLAC,Multimedia
Win2000|XP printer spool file,67 49 00 00,Hex,N/A,SHD,Windows
Win Server 2003 printer spool file,68 49 00 00,Hex,N/A,SHD,Windows
Skype user data file,6C 33 33 6C,Hex,N/A,DBB,Network
SMS text (SIM),6F 3C,Hex,N/A,(none),Mobile
WinNT registry file,72 65 67 66,Hex,N/A,DAT,Windows
Sonic Foundry Acid Music File,72 69 66 66,Hex,N/A,AC,Multimedia
RealMedia metafile,72 74 73 70 3A 2F 2F,Hex,N/A,RAM,Multimedia
Allegro Generic Packfile (compressed),73 6C 68 21,Hex,N/A,DAT,Miscellaneous
Allegro Generic Packfile (uncompressed),73 6C 68 2E,Hex,N/A,DAT,Miscellaneous
PalmOS SuperMemo,73 6D 5F,Hex,N/A,PDB,Mobile
CALS raster bitmap,73 72 63 64 6F 63 69 64,Hex,N/A,CAL,Picture
PowerBASIC Debugger Symbols,73 7A 65 7A,Hex,N/A,PDB,Programming
Qimage filter,76 32 30 30 33 2E 31 30,Hex,N/A,FLT,Miscellaneous
MacOS X image file,78,Hex,N/A,DMG,MacOS
ZoomBrowser Image Index,7A 62 65 78,Hex,N/A,INFO,Miscellaneous
Windows application log,7B 0D 0A 6F 20,Hex,N/A,LGC|LGD,Windows
MS WinMobile personal note,7B 5C 70 77 69,Hex,N/A,PWI,Mobile
RTF file,7B 5C 72 74 66 31,Hex,N/A,RTF,Word processing suite
Corel Paint Shop Pro image,7E 42 4B 00,Hex,N/A,PSP,Presentation
ELF executable,7F 45 4C 46,Hex,N/A,(none),Windows
Relocatable object code,80,Hex,N/A,OBJ,Windows
Dreamcast audio,80 00 00 20 03 12 04,Hex,N/A,ADX,Multimedia
Outlook Express address book (Win95),81 32 84 C1 85 05 D0 11,Hex,N/A,WAB,Email
WordPerfect text,81 CD AB,Hex,N/A,WPF,Word processing suite
PNG image,89 50 4E 47 0D 0A 1A 0A,Hex,N/A,PNG,Picture
MS Answer Wizard,8A 01 09 00 00 00 E1 08,Hex,N/A,AW,Windows
Hamarsoft compressed archive,91 33 48 46,Hex,N/A,HAP,Compressed archive
PGP secret keyring_1,95 00,Hex,N/A,SKR,Miscellaneous
